year,community_area,comm_pop,community,commarea_km2,other1,property1,public_order1,violent1,malepop,male15_19pop,male15_24pop,male15_29pop,allwhitepop,allblackpop
2023,14,46620.0,ALBANY PARK,53.54223080864773,155,1545,121,754,23474,1851,3988,5799,28416,2526
2023,15,61793.0,PORTAGE PARK,110.19609711747748,334,2135,188,887,30343,1795,3858,5884,43961,1941
2023,16,53832.0,IRVING PARK,89.61138229311392,187,1752,150,744,26532,1417,2703,4448,36560,3568
2023,17,41816.0,DUNNING,103.5950011545707,171,1081,79,446,20161,931,1945,2907,32136,1978
2023,18,14084.0,MONTCLARE,27.57639362717424,56,456,32,170,6519,549,932,1158,8666,1324
2023,19,72918.0,BELMONT CRAGIN,109.09941466771691,530,2721,311,1418,36710,2986,5672,8230,36946,4495
2023,20,22776.0,HERMOSA,32.60205939915233,112,944,116,450,11737,922,1754,2350,12037,1350
2023,21,35489.0,AVONDALE,55.29059546222403,111,1490,106,517,17239,968,2097,3794,24322,2788
2023,22,70872.0,LOGAN SQUARE,100.05756668057336,237,3841,164,1014,34768,1261,3309,8743,55461,6001
2023,23,55598.0,HUMBOLDT PARK,100.48087648273764,440,3300,1259,1996,25461,2051,3507,5642,20079,19985
