year,namelsad,tractpop,geoid,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,Census Tract 2435,4031.0,17031243500,243500,24,1.0,84564.0,0.0476680384087791,WEST TOWN,127.56290457232984
2020,Census Tract 2502,2922.0,17031250200,250200,25,1.0,95073.0,0.0307342778706888,AUSTIN,199.25420338818205
2020,Census Tract 2503,5433.0,17031250300,250300,25,1.0,95073.0,0.0571455618314347,AUSTIN,199.25420338818205
2020,Census Tract 2504,5471.0,17031250400,250400,25,1.0,95073.0,0.0575452546990207,AUSTIN,199.25420338818205
2020,Census Tract 2505,7141.0,17031250500,250500,25,1.0,95073.0,0.0751107044060879,AUSTIN,199.25420338818205
2020,Census Tract 715,6157.0,17031071500,71500,7,1.0,69568.0,0.0885033348666053,LINCOLN PARK,88.31640045539218
2020,Census Tract 718,2579.0,17031071800,71800,7,1.0,69568.0,0.0370716421343146,LINCOLN PARK,88.31640045539218
2020,Census Tract 801,6944.0,17031080100,80100,8,1.0,95405.0,0.0727844452596824,NEAR NORTH SIDE,76.67589595801923
2020,Census Tract 803,4697.0,17031080300,80300,8,1.0,95405.0,0.049232220533515,NEAR NORTH SIDE,76.67589595801923
2020,Census Tract 804,4440.0,17031080400,80400,8,1.0,95405.0,0.0465384413814789,NEAR NORTH SIDE,76.67589595801923
2020,Census Tract 1601,2534.0,17031160100,160100,16,1.0,53604.0,0.0472725915976419,IRVING PARK,89.61138229311392
2020,Census Tract 1602,3138.0,17031160200,160200,16,1.0,53604.0,0.0585404074322811,IRVING PARK,89.61138229311392
2020,Census Tract 1603,3672.0,17031160300,160300,16,1.0,53604.0,0.0685023505708529,IRVING PARK,89.61138229311392
2020,Census Tract 1604,4799.0,17031160400,160400,16,1.0,53604.0,0.0895269009775389,IRVING PARK,89.61138229311392
2020,Census Tract 1607,5860.0,17031160700,160700,16,1.0,53604.0,0.1093201999850757,IRVING PARK,89.61138229311392
